response,context/0,context/1,context/2,context/3,context/4
"hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.","What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney.","Yeah, what are you doing tonight?","It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.","yeah, sorry. We thought you were asleep.","Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things."
"Okay, meet me at the bar in fifteen minutes, and Suit up!","Hey, you wanna do something tonight?","hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.","What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney.","Yeah, what are you doing tonight?","It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight."
"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",Hey.,"Okay, meet me at the bar in fifteen minutes, and Suit up!","Hey, you wanna do something tonight?","hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.","What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney."
It was a blazer!,I did that one time.,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",Hey.,"Okay, meet me at the bar in fifteen minutes, and Suit up!","Hey, you wanna do something tonight?"
I see what this is about. Have you forgotten what I said to you the night we met?,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted.",It was a blazer!,I did that one time.,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",Hey.
"Ted, I'm going to teach you how to live.  Barney, we met at the urinal.",I see what this is about. Have you forgotten what I said to you the night we met?,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted.",It was a blazer!,I did that one time.,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit."
"Lesson one, lose the goatee. It doesn't look good with your suit.","Oh, right. Hi.","Ted, I'm going to teach you how to live.  Barney, we met at the urinal.",I see what this is about. Have you forgotten what I said to you the night we met?,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted.",It was a blazer!
"Lesson two, get a suit. Suits are cool.  Lesson three, don't even think about getting married till you're... thirty.",I'm not wearing a suit.,"Lesson one, lose the goatee. It doesn't look good with your suit.","Oh, right. Hi.","Ted, I'm going to teach you how to live.  Barney, we met at the urinal.",I see what this is about. Have you forgotten what I said to you the night we met?
"I thought I was your best friend. Ted, say I'm your best friend.","Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.","Lesson two, get a suit. Suits are cool.  Lesson three, don't even think about getting married till you're... thirty.",I'm not wearing a suit.,"Lesson one, lose the goatee. It doesn't look good with your suit.","Oh, right. Hi."
"Good! And as your best friend, I suggest we play a little game called... Have you met Ted?","You're my best friend, Barney.","I thought I was your best friend. Ted, say I'm your best friend.","Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.","Lesson two, get a suit. Suits are cool.  Lesson three, don't even think about getting married till you're... thirty.",I'm not wearing a suit.
