episode,line,character
01x01,"Kids, I'm going to tell you an incredible story. The story of how I met your mother",Narrator
01x01,Are we being punished for something?,Son
01x01,No,Narrator
01x01,"Yeah, is this going to take a while?",Daughter
01x01,"Yes.  Twenty-five years ago, before I was dad, I had this whole other life.",Narrator
01x01,"It was way back in 2005. I was twenty-seven just starting to make it as an architect and living in New York with my friend Marshall, my best friend from college. My life was good and then Uncle Marshall went and screwed the whole thing up.",Narrator
01x01,Will you marry me.,Marshall
01x01,"Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have sx on the kitchen floor... Don't have sx on our kitchen floor.",Ted
01x01,"Got it. Thanks for helping me plan this out, Ted.",Marshall
01x01,"Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things.",Ted
01x01,"yeah, sorry. We thought you were asleep.",Marshall
01x01,"It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.",Ted
01x01,"Yeah, what are you doing tonight?",Marshall
01x01,"What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney.",Narrator
01x01,"hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.",Barney
01x01,"Hey, you wanna do something tonight?",Ted
01x01,"Okay, meet me at the bar in fifteen minutes, and Suit up!",Barney
01x01,Hey.,Ted
01x01,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",Barney
01x01,I did that one time.,Ted
01x01,It was a blazer!,Barney
01x01,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted.",Ted
01x01,I see what this is about. Have you forgotten what I said to you the night we met?,Barney
01x01,"Ted, I'm going to teach you how to live.  Barney, we met at the urinal.",Barney
01x01,"Oh, right. Hi.",Ted
01x01,"Lesson one, lose the goatee. It doesn't look good with your suit.",Barney
01x01,I'm not wearing a suit.,Ted
01x01,"Lesson two, get a suit. Suits are cool.  Lesson three, don't even think about getting married till you're... thirty.",Barney
01x01,"Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.",Ted
01x01,"I thought I was your best friend. Ted, say I'm your best friend.",Barney
01x01,"You're my best friend, Barney.",Ted
01x01,"Good! And as your best friend, I suggest we play a little game called... Have you met Ted?",Barney
01x01,"Wai-no, no, no. We're not playing Have You Met Ted?",Ted
01x01,"Hi, I'm Ted.",Ted
01x01,Yasmine.,Yasmine
01x01,It's a very pretty name.,Ted
01x01,"Thanks, It's Lebanese.",Yasmine
01x01,Hey!,Marshall
01x01,"Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy  got to second base with me. Wow, you're cooking?",Lily
01x01,"Yes, I am.",Marshall
01x01,Aww- Are you sure that's a good idea after last time? You looked really creepy without eyebrows.,Lily
01x01,I can handle this; I'm full of surprises tonight.,Marshall
01x01,So there's more surprises? Like what?,Lily
01x01,"Marshall was in his second year of law school, so he was pretty good at thinking on his feet.",Narrator
01x01,BOOGITY BOO! And that's all of them! I'm goanna go... cook.,Marshall
01x01,"I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now.",Ted
01x01,So do you think you'll ever get married?,Yasmine
01x01,"Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged?  Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?",Ted
01x01,"Actually, I think it's cute.",Yasmine
01x01,"Well, you're clearly drunk  ONE MORE FOR THE LADY!",Ted
01x01,"Okay, look what I got",Marshall
01x01,Aw-honey. Champagne!,Lily
01x01,"No, you are too old to be scared to open a bottle of champagne!",Lily
01x01,I'm not scared.,Marshall
01x01,Then open it!,Lily
01x01,Fine,Marshall
01x01,"You are unbelievable, Marshall. No-",Lily
01x01,"There are two big questions a man has to ask in life. One you plan out for months, the other just slips out when you're half drunk at some bar.",Narrator
01x01,will you marry me?,Marshall
01x01,you wanna go out sometime?,Ted
01x01,"Of course, you idiot!",Lily
01x01,I'm sorry; Carl's my boyfriend,Yasmine
01x01,"Sup, Carl?",Ted
01x01,I promised Ted we wouldn't do that.,Marshall
01x01,Did you know there's a pop tart under your fridge?,Lily
01x01,"No, but dibs. Where's that champagne? I wanna drink a toast with my fianc.",Marshall
01x01,aww,Lily
01x01,I don't know why I was so scared of this. Pretty easy right?,Marshall
01x01,OH!,Marshall
01x01,Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.,Ted
01x01,how does Carl land a Lebanese girl?,Barney
