response,context/0,context/1,context/2,context/3,context/4
And that's how you play the game!,Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.,"By David X. Cohen amp; Matt Groening Transcribed by Dave, The Neutral Planet","By David X. Cohen amp; Matt Groening Transcribed by Dave, The Neutral Planet","By David X. Cohen amp; Matt Groening Transcribed by Dave, The Neutral Planet","By David X. Cohen amp; Matt Groening Transcribed by Dave, The Neutral Planet"
"Michelle, baby! Where you going?","Hey, Fry. Pizza goin' out! C'mon!!","You stink, loser!",And that's how you play the game!,Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.,"By David X. Cohen amp; Matt Groening Transcribed by Dave, The Neutral Planet"
I hate my life I hate my life I hate my life.,"It's not working out, Fry. I put your stuff out on the sidewalk!","Michelle, baby! Where you going?","Hey, Fry. Pizza goin' out! C'mon!!","You stink, loser!",And that's how you play the game!
"Hello? Pizza delivery for......Icy Wiener?! Aw, crud! I always thought at this point in my life I'd be the one making the crank calls! Here's to another lousy millennium.",Happy new year!,I hate my life I hate my life I hate my life.,"It's not working out, Fry. I put your stuff out on the sidewalk!","Michelle, baby! Where you going?","Hey, Fry. Pizza goin' out! C'mon!!"
What the?,One!,Wu!,Thathu!,Chaar!,Wu!
"My God! It's the future. My parents, my co-workers, my girlfriend. I'll never see any of them again. Yahoo!",What the?,One!,Wu!,Thathu!,Chaar!
Cool! Just like in Star Trek! Ow!,Have a nice future.,"Haven't you ever heard of a little thing called showmanship? Come, your destiny awaits!",Why do you always have to say it that way?,Welcome to the world of tomorrow!,"My God! It's the future. My parents, my co-workers, my girlfriend. I'll never see any of them again. Yahoo!"
"Uh, Fry.","Good afternoon, sir. Name?",Cool! Just like in Star Trek! Ow!,Have a nice future.,"Haven't you ever heard of a little thing called showmanship? Come, your destiny awaits!",Why do you always have to say it that way?
Can I ask you a question?,I'm Leela. Now it's New Year's Eve so I'd like to decide your fate quickly and get out of here.,"Uh, Fry.","Good afternoon, sir. Name?",Cool! Just like in Star Trek! Ow!,Have a nice future.
Uh...,As long as it's not about my eye.,Can I ask you a question?,I'm Leela. Now it's New Year's Eve so I'd like to decide your fate quickly and get out of here.,"Uh, Fry.","Good afternoon, sir. Name?"
Sort of.,Is it about my eye?,Uh...,As long as it's not about my eye.,Can I ask you a question?,I'm Leela. Now it's New Year's Eve so I'd like to decide your fate quickly and get out of here.
What's with the eye?,Just ask the question.,Sort of.,Is it about my eye?,Uh...,As long as it's not about my eye.
"Cool, an alien! Has your race taken over the Earth?","I'm an alien, alright? Now let's drop the subject.",What's with the eye?,Just ask the question.,Sort of.,Is it about my eye?
Wait a minute! Is that blimp accurate?,"No, I just work here.","Cool, an alien! Has your race taken over the Earth?","I'm an alien, alright? Now let's drop the subject.",What's with the eye?,Just ask the question.
"My God, a million years!",Yep. It's December 31st 2999.,Wait a minute! Is that blimp accurate?,"No, I just work here.","Cool, an alien! Has your race taken over the Earth?","I'm an alien, alright? Now let's drop the subject."
"Y'know, I guess it should be but actually I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.",I'm sure this must be very upsetting for you.,"My God, a million years!",Yep. It's December 31st 2999.,Wait a minute! Is that blimp accurate?,"No, I just work here."
That's great! What's the little guy's name?,...great great great great great nephew.,Interesting. Your DNA test shows one living relative. He's your great great great great great great great...,"Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator.","Y'know, I guess it should be but actually I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.",I'm sure this must be very upsetting for you.
Eurgh!,Professor Hubert Farnsworth.,That's great! What's the little guy's name?,...great great great great great nephew.,Interesting. Your DNA test shows one living relative. He's your great great great great great great great...,"Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator."
"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser. What's that?",Eurgh!,Professor Hubert Farnsworth.,That's great! What's the little guy's name?,...great great great great great nephew.,Interesting. Your DNA test shows one living relative. He's your great great great great great great great...
