response,context/0,context/1,context/2,context/3,context/4
"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son.","Here he comes, the birthday boy.",We're going to the zoo!,"Wake up, cousin!"
"Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!,"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son."
He's asleep!,Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.
Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.
"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!
...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!
Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!
"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.
Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.
"I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day..."
"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.
Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?
Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before."
I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?
I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?"
