response,context/0,context/1,context/2,context/3,context/4
"C'mon, you're going out with the guy! There's gotta be something wrong with him!",There's nothing to tell! He's just some guy I work with!,There's nothing to tell! He's just some guy I work with!,There's nothing to tell! He's just some guy I work with!,There's nothing to tell! He's just some guy I work with!,There's nothing to tell! He's just some guy I work with!
Instead of...?,"Then I look down, and I realize there's a phone... there.","Oh, yeah. Had that dream.","Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",Sounds like a date to me.,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
Never had that dream.,That's right.,Instead of...?,"Then I look down, and I realize there's a phone... there.","Oh, yeah. Had that dream.","Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
"This guy says hello, I wanna kill myself.",Hi.,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",And they weren't looking at you before?!,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",No.
Ohh.,Carol moved her stuff out today.,Cookie?,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...","Are you okay, sweetie?","This guy says hello, I wanna kill myself."
And you never knew she was a lesbian...,"No I don't, to hell with her, she left me!",No you don't.,"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",Fine!  Be murky!,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?"
"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",Sorry.,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., I'll never have grandchildren, I'll never have grandchildren. was what?  A wrong number?","I told mom and dad last night, they seemed to take it pretty well.",Sometimes I wish I was a lesbian...  Did I say that out loud?,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
"Strip joint! C'mon, you're single! Have some hormones!","Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",Sorry.,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., I'll never have grandchildren, I'll never have grandchildren. was what?  A wrong number?","I told mom and dad last night, they seemed to take it pretty well.",Sometimes I wish I was a lesbian...  Did I say that out loud?
I say push her down the stairs.,"Ooh, she should not be wearing those pants.","If I let go of my hair, my head will fall off.","Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",I'll have whatever Christine is having.,Tuna or egg salad?  Decide!
Push her down the stairs! Push her down the stairs! Push her down the stairs!,I say push her down the stairs.,"Ooh, she should not be wearing those pants.","If I let go of my hair, my head will fall off.","Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",I'll have whatever Christine is having.
"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.","Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing.",I helped!,I'm all better now.,bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...,"Just breathe, breathe.. that's it. Just try to think of nice calm things..."
"What, like there's a rule or something?","Joey, stop hitting on her! It's her wedding day!","And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.","Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing.",I helped!,I'm all better now.
Who's Paul?,"Oh God, is it 6:30?  Buzz him in!","It's, uh, it's Paul.","Please don't do that again, it's a horrible sound.","What, like there's a rule or something?","Joey, stop hitting on her! It's her wedding day!"
"Hey, Paul!","Ooh, I just pulled out four eyelashes. That can't be good.","Change!  Okay, sit down.  Two seconds.",A wandering?,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...","I'm sorry, I didn't catch your name. Paul, was it?"
"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",Yeah?,"Hey, Paul!","Ooh, I just pulled out four eyelashes. That can't be good.","Change!  Okay, sit down.  Two seconds.",A wandering?
"Hey Pheebs, you wanna help?","Okay, sure.","Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day.","Yes, and we're very excited about it.","Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.","Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!"
I'm thinking we've got a bookcase here.,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",La-la-la-la...ohhh!,"Oh, I wish I could, but I don't want to.","Hey Pheebs, you wanna help?","Okay, sure."
What's this?,It's a beautiful thing.,I'm thinking we've got a bookcase here.,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",La-la-la-la...ohhh!,"Oh, I wish I could, but I don't want to."
Which goes where?,I would have to say that is an 'L'-shaped bracket.,What's this?,It's a beautiful thing.,I'm thinking we've got a bookcase here.,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
Done with the bookcase!,I have no idea.,Which goes where?,I would have to say that is an 'L'-shaped bracket.,What's this?,It's a beautiful thing.
"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.","This was Carol's favorite beer. She always drank it out of the can, I should have known.",All finished!,Done with the bookcase!,I have no idea.,Which goes where?
"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?","Yes, please don't spoil all this fun.","Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.","This was Carol's favorite beer. She always drank it out of the can, I should have known.",All finished!,Done with the bookcase!
You got screwed.,"Oh, God.",You guys.,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?","Yes, please don't spoil all this fun.","Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
Shut up!,I'm divorced!  I'm only 26 and I'm divorced!,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-","That's right.  Scene: Monica's Apartment, Rachel is talking on the phone and pacing.","Ooh, steer clear of you.","You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!","You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...","Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento.   You, however have had the love of a woman for four years.   Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  I don't think that was my point!",That only took me an hour.,You must stop!,Shut up!
"Great story!  But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man,","Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",Oh...see... but Joanne loved Chachi! That's the difference!,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.","...Yeah. Yeah, I do.","So you still think you, um... might want that fifth date?"
Right.  Thanks.  It's June.  I'm outta here.,"Angela's the screamer, Andrea has cats.","Great story!  But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man,","Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",Oh...see... but Joanne loved Chachi! That's the difference!,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony."
Congratulations.,That is amazing.,"Isn't this amazing? I mean, I have never made coffee before in my entire life.","Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",Right.  Thanks.  It's June.  I'm outta here.,"Angela's the screamer, Andrea has cats."
"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something...  Although actually I'm really not that hungry...","If can invade Poland, there isn't anything I can't do.","Y'know, I figure if I can make coffee, there isn't anything I can't do.",Congratulations.,That is amazing.,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
"Morning, Paul.",Morning.,Morning. Good morning.,"Oh good, Lenny and Squigy are here.","Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something...  Although actually I'm really not that hungry...","If can invade Poland, there isn't anything I can't do."
That wasn't a real date?! What the hell do you do on a real date?,Yeah.,We'll talk later.,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.",Stop!,Thank you!  Thank you so much!
"Yeah, I'm an actor.","Yeah, we all have jobs. See, that's how we buy stuff.","So, like, you guys all have jobs?","All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",Okayyy!,"Shut up, and put my table back."
I doubt it. Mostly regional work.,Wow! Would I have seen you in anything?,"Yeah, I'm an actor.","Yeah, we all have jobs. See, that's how we buy stuff.","So, like, you guys all have jobs?","All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
"Look, it was a job all right?","Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",I doubt it. Mostly regional work.,Wow! Would I have seen you in anything?,"Yeah, I'm an actor.","Yeah, we all have jobs. See, that's how we buy stuff."
I will not take this abuse.,"'Look, Gippetto, I'm a real live boy.'","Look, it was a job all right?","Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",I doubt it. Mostly regional work.,Wow! Would I have seen you in anything?
"You should both know, that he's a dead man.  Oh, Chandler?","You're right, I'm sorry.  Once I was a wooden boy, a little wooden boy...",I will not take this abuse.,"'Look, Gippetto, I'm a real live boy.'","Look, it was a job all right?","Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
