response,context/0,context/1,context/2,context/3,context/4
"Come on in, live like bacon.,ROSS","the way you smell.,ROSS","The way you cry at game shows. Number two: how much you love your friends. Number three: the way you play with your hair when you're nervous. Number four: how brave you are for starting your life over. Number five: how great you are with Ben.,ROSS","Easter, Christmas, what have you.,RTST","30 in the morning. We're not working out, it's over.,CHAN","Sure, sweepin'. You never know.,MR. TREEGER"
"Phoebe Buffay, What Can I Say. I Really Loved When We Were Singing Partners, And I Shouldnt Have Left You That Way.,Singer","nothing. All right? This is like the scariest book ever. I bet its way better than that classic of yours.,Joey","02. We ah, talked for a little while, and then um, we went out for an innocent burger.,Monica","02.,Clerk","'Cookie Dude!',Ross","'Run for your life! Get out of the building!',Chandler"
"blah-blah-blah, blah-blah-blah-blah-blah, blah-blah-blah, blah, blah.,Rachel","Phoebe Buffay, What Can I Say. I Really Loved When We Were Singing Partners, And I Shouldnt Have Left You That Way.,Singer","nothing. All right? This is like the scariest book ever. I bet its way better than that classic of yours.,Joey","02. We ah, talked for a little while, and then um, we went out for an innocent burger.,Monica","02.,Clerk","'Cookie Dude!',Ross"
"How much it bothers you? because I dont like wasting my time. Am I wasting my time?,Ginger","blah-blah-blah, blah-blah-blah-blah-blah, blah-blah-blah, blah, blah.,Rachel","Phoebe Buffay, What Can I Say. I Really Loved When We Were Singing Partners, And I Shouldnt Have Left You That Way.,Singer","nothing. All right? This is like the scariest book ever. I bet its way better than that classic of yours.,Joey","02. We ah, talked for a little while, and then um, we went out for an innocent burger.,Monica","02.,Clerk"
"00 with Mr. Rehack, cause its like 9:15 now, and Im not there.,Phoebe","30.,Rachel","30.,Joey","30.,Joey","How much it bothers you? because I dont like wasting my time. Am I wasting my time?,Ginger","blah-blah-blah, blah-blah-blah-blah-blah, blah-blah-blah, blah, blah.,Rachel"
"The Vampire Layer.,Chandler","Dont eat yellow snow. . Ah ha ha, 2:15, coffeehouse.,Chandler","Hi Kim.,Ralph Lauren","Hi Kim.,Ralph Lauren","30 on a Wednesday.,Joey","00 and I picked up all the forms. Ill take care of everything.,Ross"
"I dont want to. And, you know, Im not going.,Rachel","Im very, very drunk right now.,Monica","I cannot tell you how happy that makes me!,Monica","really?,Monica","then why were you watching them and giving YOURSELF a treat.,Monica","I saw what you were doing in Tulsa. angry sharks turn you on!,Monica"
"Can we just drop this? Im not gonna smoke again.,Chandler","I dont want to. And, you know, Im not going.,Rachel","Im very, very drunk right now.,Monica","I cannot tell you how happy that makes me!,Monica","really?,Monica","then why were you watching them and giving YOURSELF a treat.,Monica"
"We are already late for Phoebes birthday dinner, so you point out put out that cigarette, were gonna put this fight on hold and go have sex.,Monica","Can we just drop this? Im not gonna smoke again.,Chandler","I dont want to. And, you know, Im not going.,Rachel","Im very, very drunk right now.,Monica","I cannot tell you how happy that makes me!,Monica","really?,Monica"
"Another table leaves, right? But theres still some food left on their place, okay, whats the restaurants policy about people eatin that?,Joey","We are already late for Phoebes birthday dinner, so you point out put out that cigarette, were gonna put this fight on hold and go have sex.,Monica","Can we just drop this? Im not gonna smoke again.,Chandler","I dont want to. And, you know, Im not going.,Rachel","Im very, very drunk right now.,Monica","I cannot tell you how happy that makes me!,Monica"
"Mommy, Im a girl, take me with you.,Ms. Geller","Another table leaves, right? But theres still some food left on their place, okay, whats the restaurants policy about people eatin that?,Joey","We are already late for Phoebes birthday dinner, so you point out put out that cigarette, were gonna put this fight on hold and go have sex.,Monica","Can we just drop this? Im not gonna smoke again.,Chandler","I dont want to. And, you know, Im not going.,Rachel","Im very, very drunk right now.,Monica"
"Can you bring everything as soon as its ready? Appetizers, entrees, we dont care.,Joey","Mommy, Im a girl, take me with you.,Ms. Geller","Another table leaves, right? But theres still some food left on their place, okay, whats the restaurants policy about people eatin that?,Joey","We are already late for Phoebes birthday dinner, so you point out put out that cigarette, were gonna put this fight on hold and go have sex.,Monica","Can we just drop this? Im not gonna smoke again.,Chandler","I dont want to. And, you know, Im not going.,Rachel"
"She lied! She tricked me into having sex with her.,Chandler","Can you bring everything as soon as its ready? Appetizers, entrees, we dont care.,Joey","Mommy, Im a girl, take me with you.,Ms. Geller","Another table leaves, right? But theres still some food left on their place, okay, whats the restaurants policy about people eatin that?,Joey","We are already late for Phoebes birthday dinner, so you point out put out that cigarette, were gonna put this fight on hold and go have sex.,Monica","Can we just drop this? Im not gonna smoke again.,Chandler"
"Theodore and Bitsy.,Mike","Oh mr. Pincer, I can see where Wallis gets his good looks...,Rachel","you gotta keep it smart, people!,Chandler","I'll see you soon... And he said to me: Skdandy...,Sandy","Oh my God! It's David. David's here. He's just, he's so irresistible.,Phoebe","Are you seeing someone? And I said no...,Phoebe"
"30?? God! Oh, this party was lame ...,Rachel","If your puppy friend doesn't get her puppy act together, I'm gonna fire her mother-puppy ass.,Joey","Pheebs, have you ever been bitten by a hungry Italian?,Joey","if what you and your wife have is so great, then why are you spending Christmas with me?,Wendy","right on money! ... You know, she's amazing, and beautiful, and smart, and if she were here right now, ...she'd kick your ass. Look, you're a really nice person... ham stealing and adultery aside. But, what I have with my wife is pretty great, so nothing is ever gonna happen between us.,Chandler","Chandler, I knew they'd break you.,Rachel"
"Thissa Time Itsa Personal.,Joey","Betrayal In The Common Room.,Chandler","I can't believe Chandler is screwing this woman, but MAN this would be a nice place to live!,Rachel","Hi, I'm Chandler. May I have the human growing inside you?,Chandler","the turkey, the stuffing...,Joey","Come on in, my butt is surprisingly hairy.,Ross"
"Wait, does he eat chalk?","All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?","C'mon, you're going out with the guy! There's gotta be something wrong with him!",There's nothing to tell! He's just some guy I work with!,"40, Newark airport.,Monica","40.,Monica"
"Just, 'cause, I don't want her to go through what I went through with Carl- oh!","Wait, does he eat chalk?","All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?","C'mon, you're going out with the guy! There's gotta be something wrong with him!",There's nothing to tell! He's just some guy I work with!,"40, Newark airport.,Monica"
No.,Never had that dream.,That's right.,Instead of...?,"Then I look down, and I realize there's a phone... there.","Oh, yeah. Had that dream."
Ooh! Oh!,Thanks.,Let me get you some coffee.,Ohh.,Carol moved her stuff out today.,Cookie?
Fine!  Be murky!,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",Ooh! Oh!,Thanks.,Let me get you some coffee.,Ohh.
"If I let go of my hair, my head will fall off.","Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",I'll have whatever Christine is having.,Tuna or egg salad?  Decide!,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.","Ooh, I was kinda hoping that wouldn't be an issue...  Scene: Monica's Apartment, everyone is there and watching a Spanish Soap on TV and are trying to figure out what is going on."
Push her down the stairs! Push her down the stairs! Push her down the stairs!,I say push her down the stairs.,"Ooh, she should not be wearing those pants.","If I let go of my hair, my head will fall off.","Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",I'll have whatever Christine is having.
bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...,"Just breathe, breathe.. that's it. Just try to think of nice calm things...","Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!","Well, I guess we've established who's staying here with Monica...","Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",You can see where he'd have trouble.
I helped!,I'm all better now.,bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...,"Just breathe, breathe.. that's it. Just try to think of nice calm things...","Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!","Well, I guess we've established who's staying here with Monica..."
"What does that mean?   Does he sell it, drink it, or just complain a lot?","No, go on! It's Paul the Wine Guy!",Really?,That'd be good...,"Are, are you okay? I mean, do you want me to stay?","Please, no, go, that'd be fine!"
"Ooh, I just pulled out four eyelashes. That can't be good.","Change!  Okay, sit down.  Two seconds.",A wandering?,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...","I'm sorry, I didn't catch your name. Paul, was it?",Hey! Paul! Hi! The Wine Guy! Hey!
"Oh, I wish I could, but I don't want to.","Hey Pheebs, you wanna help?","Okay, sure.","Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day.","Yes, and we're very excited about it.","Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
