response,context,context/0
"So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If its unobserved it will, however, if its observed after its left the plane but before it hits its target, it will not have gone through both slits.","So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If its unobserved it will, however, if its observed after its left the plane but before it hits its target, it will not have gone through both slits.","So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If its unobserved it will, however, if its observed after its left the plane but before it hits its target, it will not have gone through both slits."
"Theres no point, I just think its a good idea for a tee-shirt.","Agreed, whats your point?","So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If its unobserved it will, however, if its observed after its left the plane but before it hits its target, it will not have gone through both slits."
I think this is the place.,"If you have to ask, maybe you shouldnt be here.","Yes. Um, is this the High IQ sperm bank?"
"Leonard, I dont think I can do this.","Oh, take your time. Ill just finish my crossword puzzle. Oh wait.",Thank-you. Well be right back.
"No. We are committing genetic fraud. Theres no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers.","What, are you kidding? Youre a semi-pro.","Leonard, I dont think I can do this."
"I know, and I do yearn for faster downloads, but theres some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesnt know if he should use an integral or a differential to solve the area under a curve.","Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment.","No. We are committing genetic fraud. Theres no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers."
I wouldnt.,Im sure shell still love him.,"I know, and I do yearn for faster downloads, but theres some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesnt know if he should use an integral or a differential to solve the area under a curve."
I want to leave.,"Well, what do you want to do?",I wouldnt.
Whats the protocol for leaving?,Okay.,I want to leave.
Lets try just walking out.,"I dont know, Ive never reneged on a proffer of sperm before.",Whats the protocol for leaving?
Bye-bye,Bye.,Okay.
Are you still mad about the sperm bank?,See you.,Bye-bye
You want to hear an interesting thing about stairs?,No.,Are you still mad about the sperm bank?
"If the height of a single step is off by as little as two millimetres, most people will trip.",Not really.,You want to hear an interesting thing about stairs?
"No, its true, I did a series of experiments when I was twelve, my father broke his clavicle.",I dont care. Two millimetres? That doesnt seem right.,"If the height of a single step is off by as little as two millimetres, most people will trip."
"No, that was the result of my work with lasers.",Is that why they sent you to boarding school?,"No, its true, I did a series of experiments when I was twelve, my father broke his clavicle."
Evidently.,New neighbour?,"No, that was the result of my work with lasers."
"Two hundred pound transvestite with a skin condition, yes she is.",Significant improvement over the old neighbour.,Evidently.
Hi.,Hi.,"Oh, hi!"
Hi.,Hi.,Hi.
Hi.,Hi.,Hi.
Great.,Great.,"Oh, great."
Bye.,Bye.,"Great. Well, bye."
No. Were going to start Season Two of Battlestar Galactica.,Should we have invited her for lunch?,Bye.
