response,context,context/0
"hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.","What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney.","Yeah, what are you doing tonight?"
"Okay, meet me at the bar in fifteen minutes, and Suit up!","Hey, you wanna do something tonight?","hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians."
"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",Hey.,"Okay, meet me at the bar in fifteen minutes, and Suit up!"
It was a blazer!,I did that one time.,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit."
I see what this is about. Have you forgotten what I said to you the night we met?,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted.",It was a blazer!
"Ted, I'm going to teach you how to live.  Barney, we met at the urinal.",I see what this is about. Have you forgotten what I said to you the night we met?,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted."
"Lesson one, lose the goatee. It doesn't look good with your suit.","Oh, right. Hi.","Ted, I'm going to teach you how to live.  Barney, we met at the urinal."
"Lesson two, get a suit. Suits are cool.  Lesson three, don't even think about getting married till you're... thirty.",I'm not wearing a suit.,"Lesson one, lose the goatee. It doesn't look good with your suit."
"I thought I was your best friend. Ted, say I'm your best friend.","Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.","Lesson two, get a suit. Suits are cool.  Lesson three, don't even think about getting married till you're... thirty."
"Good! And as your best friend, I suggest we play a little game called... Have you met Ted?","You're my best friend, Barney.","I thought I was your best friend. Ted, say I'm your best friend."
how does Carl land a Lebanese girl?,Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.,OH!
Exactly-the guy doesn't even own a suit!,It's always been don't even think about it till you're thirty,how does Carl land a Lebanese girl?
"Hey, have you met Ted?","Hey Barney, see that girl?","It was like something from an old movie. Where the sailor sees the girl across the crowded dance floor, turns to his buddy and says, see that girl? I'm going to marry her someday"
De-wait for it-nied! Denied!,that was fun.,"Uh, I know this is a long shot, but how about tomorrow night?"
I thought we were playing laser tag tomorrow night?,We're going out tomorrow night.,De-wait for it-nied! Denied!
"Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I klled you Connor; don't make me get your mom!","Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.",What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.
"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!","Hey, listen. I need your opinion on something.","Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I klled you Connor; don't make me get your mom!"
I can't believe you're still not wearing a SUIT!,So these guys think I chickened out. What do you think?,"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!"
"What is she goanna-is she goanna bat her eyes at you in Morse code  Kiss me-No, you just kiss her!",She didn't even give me the signal.,I can't believe you're still not wearing a SUIT!
Ee- Did Marshall give me the signal?,Not if you don't get the signal.,"What is she goanna-is she goanna bat her eyes at you in Morse code  Kiss me-No, you just kiss her!"
"But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her.","No!  I didn't, I swear.",Ee- Did Marshall give me the signal?
A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again.,"Urgh, I should've kissed her. What about when she gets back from Orlando?","But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her."
"Actually, that is a perfect metaphor. By the way, did I congratulate you two?","I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death.","Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you: that's freakin' crazy!"
"Alright, but under one condition.",...Barney?,We're coming with you.
"look at you, you beautiful bstrd, you suited up! This is totally going in my blog!","Alright, but under one condition.",...Barney?
Ted's goanna get it on with a TV reporter,"go, go, GO!  Everybody brings flowers.","Hey, HEY!"
Why does he get to be the best man?  I'M YOUR BEST FRIEND!,"Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story.",Kiss the crap out of that girl
You're wearing a suit!,Go back in there!,No!
"So,  Ranjit... you must've done it with a Lebanese girl.",He's in.,Come on up.
The women hot there?,"Actually, I'm from Bangladesh.",Okay-that's my Barney Limit.
She's lovely.,Here's a picture of my wife!,The women hot there?
"So, Marshall. This Olive Theory based on you and Lily?",Thank you.,For starters
"You hate olives? Lily loves them, you can't stand them.",Yeah...,"So, Marshall. This Olive Theory based on you and Lily?"
"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?","Yeah, hate olives.","You hate olives? Lily loves them, you can't stand them."
I swear.,You have to swear that this does not leave this cab.,"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?"
But you like olives!,"On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, Sure... I hate olives.",I swear.
"Marshall, I'm going to get you an early wedding present. Don't get married.","Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.",But you like olives!
What?,I think I'm in love with you.,I think I like your nose.
"Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it.",What?,What?
Why are we still sitting here? Let's go! We can still make last call. What do you say Lil?  'Cuz you're a pirate...,Olives. Thanks. I love you. What's wrong with me?,Hold on.  Promised you these.
You think they're doing it in front of the dogs?,It's been like twenty minutes. You think they're doin' it?,"Okay, eye patch gone- And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support."
I had this girl in college; she had a golden retriever-,Doggie style.,You think they're doing it in front of the dogs?
Hit it Ranjit.,"Okay, we can go to the bar, just stop talking.",I had this girl in college; she had a golden retriever-
There's no such thing as the signal. But yeah-that was the signal.,That long lingering handshake-you should've kissed her!,That was the signal!
"Yeah Ted, we're not on you anymore.","Guys, trust me. I've seen the signal. That was not the signal.",I am so turned on right now.
"I suggest we play a little game I like to call, Have you Met Ted?","Right, so  back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, Maybe I should get married. Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in.",In excruciating detail...
No! As your sponsor I will not let you relapse. You blew it; it's over-move on.,I'm in love with her.,What?
"Yeah, cuz nothing says Casual like inviting a hundred people over just to Mac on one girl. Oh, and Lily-that's my leg.",We are now-Casual,We're having a party next Friday?
What's so special about the roof?,Get her up to the roof and the roof takes care of the rest.,The roof.
"Solid plan, my little friend.",We do it up there sometimes.,"Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof."
But may I suggest one little modification.,We're the same height.,"Solid plan, my little friend."
"That foxy young thing you were chatting up, take her up to the roof and have sx with her! Crazy monkey-style.",But may I suggest one little modification.,We're the same height.
"Should be the plan, I mean look at her. Ted, look at her. She's smokin'!",That's not the plan.,"That foxy young thing you were chatting up, take her up to the roof and have sx with her! Crazy monkey-style."
"Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?","Yeah, but she's not Robin.",Thank you.
"Aargh!  Scoping, beep, scoping, beep!","Barney, I don't wanna say-","Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?"
"beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call Have You Met Ted?",Man you're a dork.,"Aargh!  Scoping, beep, scoping, beep!"
Hi! Have you met Ted?,"No, come on not this.","beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call Have You Met Ted?"
Do you know Marshall? Lily?,Hi.,Hi.
"Hmm, do you know anyone at this party?",No.,Do you know Marshall? Lily?
"Excuse me,  Anyone know a Carlos?",I work with Carlos.,"Hmm, do you know anyone at this party?"
On a silver platter! Bon appetite!,No.,No.
"Your loss, her gain.  Excuse me, can I show you the roof? It's magical up there!",I don't think so.,On a silver platter! Bon appetite!
"Dude, Robin's not coming.",Whoa-whoa-Hey hey. I got that roof reserved!,Sure
"Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?",I'm the luckiest girl alive,And no cuddling after.
"She said she works with Carlos, who's Carlos?",I have no idea who that is.,"Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?"
"Grr.  Hi, you. You're back.",I don't know any Carlos.,"She said she works with Carlos, who's Carlos?"
