response,context,context/0
"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son."
"Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!
He's asleep!,Move!,Move!
Sorry about him.,He's boring.,He's asleep!
"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.
...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.
Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day..."
"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.
Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?
"I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before."
"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?
Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?"
Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?"
I see. That's me as well.,Do you miss your family?,Was it nice there?
I never knew my parents either.,I see. That's me as well.,Do you miss your family?
"Mummy, Dad, come here!",I never knew my parents either.,I see. That's me as well.
Anytime.,Thanks.,you won't believe what this snake is doing!
"I swear, I don't know!",What happened?,We'll get you out of these cold clothes.
"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?
Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.
That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.
It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it."
"Hey, give it back! It's mine!","Dad, look! Harry's got a letter!",Marge is ill. Ate a funny whelk.
Because there's no post on Sundays?,"Why is that, Dudley?","In my opinion, best day of the week."
Get off!,Give me that letter!,Give me that!
They're my letters!,Get off!,Give me that letter!
Let go of me!,They're my letters!,Get off!
"Make a wish, Harry.","Daddy's gone mad, hasn't he?","Far away, where they can't find us!"
I am.,I'm not Harry.,Particularly 'round the middle.
Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same."
"Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.
"Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts."
Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no."
